avg_rating,geek_rating,num_voters,rank,release_date,title,url
8.87,8.592,28103.0,1,2017,Gloomhaven,/boardgame/174430/gloomhaven
8.63,8.478,32914.0,2,2015,Pandemic Legacy: Season 1,/boardgame/161936/pandemic-legacy-season-1
8.41,8.252,43470.0,3,2016,Terraforming Mars,/boardgame/167791/terraforming-mars
8.51,8.248,17019.0,4,2015,Through the Ages: A New Story of Civilization,/boardgame/182028/through-ages-new-story-civilization
8.32,8.17,35623.0,5,2005,Twilight Struggle,/boardgame/12333/twilight-struggle
8.43,8.157,17815.0,6,2016,Star Wars: Rebellion,/boardgame/187645/star-wars-rebellion
8.71,8.145,8146.0,7,2017,Twilight Imperium (Fourth Edition),/boardgame/233078/twilight-imperium-fourth-edition
8.53,8.136,10750.0,8,2017,Gaia Project,/boardgame/220308/gaia-project
8.27,8.109,43209.0,9,2016,Scythe,/boardgame/169786/scythe
8.29,8.092,21296.0,10,2016,Great Western Trail,/boardgame/193738/great-western-trail
8.58,8.065,7121.0,11,2018,Brass: Birmingham,/boardgame/224517/brass-birmingham
8.44,8.048,10513.0,12,2012,War of the Ring (Second Edition),/boardgame/115746/war-ring-second-edition
8.18,8.03,33796.0,13,2012,Terra Mystica,/boardgame/120677/terra-mystica
8.35,8.015,13629.0,14,2017,Spirit Island,/boardgame/162886/spirit-island
8.13,8.01,38537.0,15,2011,The Castles of Burgundy,/boardgame/84876/castles-burgundy
8.43,8.007,11440.0,16,2017,The 7th Continent,/boardgame/180263/7th-continent
8.12,7.984,43833.0,17,2015,7 Wonders Duel,/boardgame/173346/7-wonders-duel
8.11,7.937,21442.0,18,2013,Concordia,/boardgame/124361/concordia
8.12,7.922,19636.0,19,2015,Viticulture Essential Edition,/boardgame/183394/viticulture-essential-edition
8.13,7.92,15810.0,20,2007,Brass: Lancashire,/boardgame/28720/brass-lancashire
8.21,7.918,19327.0,21,2016,Arkham Horror: The Card Game,/boardgame/205637/arkham-horror-card-game
